Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.911111,548888894.577778,546666678.044444,751111190.755556,800000045.511111,1006666638.22222,1399999965.86667,1673333418.66667,1373333367.46667,1408888923.02222,1748886596.26667,1831108972.08889,1595555475.91111,1733333265.06667,2155555498.66667,2366666615.46667,2555555566.93333,2953333418.66667,3300000108.08889,3697940345.14177,3641723447.18433,3478787909.81818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461666314.78366,4128818042.25508,4583648921.64112,5285461999.33739,6275076016.47174,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20310881086.9758,20841951231.998,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7876807071726,59.8900369372405,58.5059950140526,78.8025868555084,82.2313945581436,101.321627084019,137.946782875667,161.3847017598,129.562318448447,129.857378169357,157.258460767554,160.443151792961,136.175611348868,144.173944406858,175.027097741097,188.085136087016,199.164809324072,226.196426673541,249.573709822237,278.390625171824,275.649828132249,267.662423622744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.899037111574,192.153528278789,203.651040923182,224.914712193371,257.175794656273,280.245644106914,380.400955186598,384.131681276839,458.955781585831,569.940728793286,622.379654358451,690.842629014956,661.969562029683,658.981812603181,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1924242453.00793,1965384586.2409,2173750012.5,2156624900,2126000000,2335124987.5,2101624962.5,1139166676.01094,709452572.338241,1228071037.84446,1985673026.02143,2424498953.26963,3013217853.03299,2196223713.70143,2727745453.16221,3434402453.29471,3686649386.83962,4091020249.1995,4449373455.28143,5652325081.83146,7464446950.18143,8376668351.83644,9132558096.86514,10701011524.0982,12881353507.8539,12044208085.864,11926957254.6288,12890866742.6533,12344529628.0617,12916669735.6928,13370191506.0031,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,662.520052309054,662.914792567128,719.157295703914,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.711327024676,218.492162347986,380.527371084275,619.064922738647,760.559358246866,951.132091437492,697.594564685119,871.893653940417,1104.74355302782,1193.46622313098,1336.85914136211,1458.32804719795,1859.55235195218,2466.00507977909,2781.57214420532,3051.76764036292,3603.01355988811,4370.5399247769,4114.13489916342,4094.36020359235,4437.8117250371,4256.01670203254,4458.07320707594,4619.21125800122,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723637620.4039,2434766866.27334,2001460838.78378,2703004009.92404,2909340114.7226,3136284385.14828,3039859268.24911,3370870461.13558,3852147112.84503,4257253358.44365,4863487557.2335,5077222330.06931,6761786483.71017,8715106128.63411,13209713770.0892,15557934472.8677,17728348385.244,20971901062.9845,26364491674.6159,33243421339.3774,42345276287.5934,44348670724.0831,45207090667.8674,48801372227.5528,53698280322.5824,57937867717.4636,63696299985.0409,66742269089.6987,59089065516.8692,55631488293.8976,62045098370.0829,45715368143.9784,48003297248.8691,49946456681.2384,42542573602.1669,41764054034.6543,46941496308.2845,48177861890.8881,48187780126.1819,48640613515.0702,54790058957.3718,54744716706.3542,56760288961.5829,67863832648.2897,85324997369.5015,103198217432.033,117027277939.302,134977088396.419,171000692134.748,137211008420.808,161207304960.456,199070864637.559,204331017992.079,210183410526.104,214063173187.56,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,244.823735853247,213.485047581328,171.209137296399,225.529803174771,236.609182105605,248.380142473666,234.190775880616,252.420303604595,280.270646768577,300.984292159783,334.25955509747,339.384001232966,439.731072982912,551.434454232327,813.049910472658,931.105585284599,1031.30337391785,1185.51062346127,1447.61764293741,1771.96550499084,2189.77571907476,2223.69691211165,2197.11059505907,2298.88402812101,2452.66424835891,2567.49552100734,2740.65416997935,2790.47490728378,2402.82546150692,2202.55811764662,2394.42060825029,1721.58210686657,1766.06588308281,1797.54185649971,1499.98417256908,1444.90799066763,1596.00684296839,1611.96192706482,1588.42241279202,1580.95762879207,1757.01192455907,1732.95859954423,1774.29203846715,2094.89339299696,2600.00647128151,3102.03703144816,3467.54394455802,3939.55993939808,4912.25194081995,3875.82120623867,4473.48744799511,5421.74330602834,5457.6427676652,5504.18130889925,5498.05663010852,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,78617623.2677227,89406586.7318332,113414400.301709,150841574.678749,186557162.711527,220112878.428921,227284059.973644,253998002.93429,308020287.903008,411548360.706898,446377569.631956,388982992.793982,375914806.208138,327849981.664236,330073056.723539,346742877.531181,481996190.387663,611300146.945291,721425970.065389,795489459.053669,1028989389.73763,1106891024.78653,1209992649.56688,1007090915.05999,1017544675.49713,1178745314.32635,1224023415.65326,1180646068.29262,1211953953.56347,1239840269.71814,1401694155.6973,1484004617.40835,1717563532.6986,2373836214.46563,2916913449.18143,3248134606.77511,3536451645.56431,4010785102.05129,4001349339.57053,3649863492.52426,3346317328.52461,3427235708.64326,3146177740.6367,3249100674.84008,..,..
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,3238.09148925914,3497.91027902321,4217.40295633309,5343.11836912432,6320.97183409658,7168.39961013877,7151.57043433635,7751.16735128596,9127.60883965529,11819.6490624917,12377.7159313411,10372.3266170866,9611.23967601089,8023.34642612295,7729.32410836312,7775.02696439627,10362.1668362391,12615.0511153017,14305.2085040033,15166.9137458039,18876.7292791845,19530.8435047204,20541.7738959473,16508.8752202349,16226.971079738,18460.007428295,19038.7988311469,18405.3200974733,18969.9779859045,19323.8925471569,21432.9600712136,21897.6629394768,24175.3727542522,31742.9925847537,37235.4500323146,39990.3304085679,42417.2291456984,47253.5297963111,46735.9995745016,42701.447136255,39639.386021211,41630.0525792977,39666.3692147448,42806.5225532934,..,..
